name,score,time
Unknown,17,2023-10-31 20:20
Unknown,30,2023-10-31 20:21
Unknown,30,2023-10-31 20:24:07
Unknown,25,2023-10-31 20:27:10
Unknown,34,2023-10-31 20:35:18
Unknown,7,2023-11-01 08:02:03
Unknown,16,2023-11-01 08:05:21
Unknown,18,2023-11-01 08:08:40
Unknown,6,2023-11-01 08:10:57
Unknown,37,2023-11-01 08:18:11
Unknown,1,2023-11-01 08:35:10
Unknown,5,2023-11-01 08:36:20
Unknown,0,2023-11-01 08:39:40
Unknown,20,2023-11-01 08:44:24
Unknown,19,2023-11-01 08:47:31
Unknown,10,2023-11-01 08:48:20
Unknown,0,2023-11-01 08:52:08
Unknown,2,2023-11-01 08:58:11
Unknown,16,2023-11-01 09:04:53
Unknown,3,2023-11-01 11:09:14
Unknown,19,2023-11-01 11:28:37
Unknown,31,2023-11-01 11:31:18
Unknown,25,2023-11-01 11:33:16
Unknown,38,2023-11-01 11:38:04
Unknown,33,2023-11-01 11:38:52
Unknown,35,2023-11-01 11:39:35
Unknown,44,2023-11-01 11:40:46
Unknown,24,2023-11-01 12:08:18
Unknown,8,2023-11-01 14:45:23
Unknown,17,2023-11-01 14:46:35
Unknown,17,2023-11-01 14:48:06
Unknown,12,2023-11-01 14:50:29
Unknown,43,2023-11-01 14:53:17
Unknown,41,2023-11-01 14:54:24
Unknown,1,2023-11-01 15:05:54
Unknown,24,2023-11-01 15:09:03
Unknown,21,2023-11-01 15:15:54
Unknown,30,2023-11-01 15:18:39
Unknown,32,2023-11-01 15:31:47
Unknown,1,2023-11-01 15:36:31
Unknown,4,2023-11-01 15:38:03
Unknown,44,2023-11-01 15:38:46
Unknown,34,2023-11-01 16:03:33
Unknown,4,2023-11-01 16:07:05
Unknown,39,2023-11-01 16:12:20
Unknown,15,2023-11-01 16:14:05
Unknown,3,2023-11-01 16:35:34
Unknown,1,2023-11-01 16:36:49
Unknown,27,2023-11-01 16:37:56
Unknown,49,2023-11-01 16:41:30
Unknown,28,2023-11-01 16:42:44
Unknown,36,2023-11-01 16:45:37
Unknown,32,2023-11-01 16:47:06
Unknown,12,2023-11-01 17:11:09
Unknown,43,2023-11-01 17:12:35
Unknown,41,2023-11-01 17:14:07
Unknown,48,2023-11-01 17:15:59
Unknown,20,2023-11-01 17:19:12
Unknown,27,2023-11-01 17:22:50
Unknown,19,2023-11-01 17:26:20
Unknown,21,2023-11-01 17:29:27
Unknown,35,2023-11-01 17:32:01
Unknown,36,2023-11-01 17:34:08
Unknown,64,2023-11-01 17:39:38
Unknown,9,2023-11-01 17:40:47
Unknown,8,2023-11-01 17:46:57
Unknown,8,2023-11-01 17:48:21
Unknown,2,2023-11-02 11:29:57
Unknown,10,2023-11-02 11:32:14
Unknown,16,2023-11-02 11:38:22
Unknown,2,2023-11-02 11:43:38
Unknown,29,2023-11-02 11:45:46
Unknown,17,2023-11-02 11:49:57
Unknown,39,2023-11-02 11:50:40
Unknown,3,2023-11-02 12:02:23
Unknown,34,2023-11-02 20:26:32
Unknown,16,2023-11-02 20:31:36
Unknown,16,2023-11-02 20:32:37
Unknown,10,2023-11-02 20:50:11
Unknown,29,2023-11-02 21:01:48
Unknown,32,2023-11-02 21:14:31
Unknown,32,2023-11-02 21:15:44
Unknown,64,2023-11-02 21:16:32
Unknown,37,2023-11-02 21:17:44
Unknown,66,2023-11-02 21:19:57
Unknown,55,2023-11-02 21:21:24
Unknown,53,2023-11-02 21:22:09
Unknown,45,2023-11-02 21:22:56
Unknown,55,2023-11-02 21:23:52
Unknown,59,2023-11-02 21:25:48
Unknown,51,2023-11-02 21:27:05
Unknown,46,2023-11-02 21:32:08
Unknown,52,2023-11-02 21:37:14
Unknown,32,2023-11-02 21:38:17
Unknown,47,2023-11-02 21:50:52
Unknown,57,2023-11-02 21:52:03
